0	OVERLAP	幼稚園から大学まで[ENT]通った青山学院では、とにかく活発で、目立つ生徒だったという。[SEP]高等部では自由な校風もあって、流行に乗ってかばんを薄くつぶしたり、ピアスを[ENT]したり。
1	VAGUE	呼び出して注意する先生もいたが、二、三年時に担任だった池田弘子先生（７５）は[ENT]違った。[SEP]「そんな薄いかばんじゃ遊び道具も入らないよ」「体育や部活では、。危ないからピアスを[ENT]はずしたほうがいい」
2	OVERLAP	台湾人の父を持ち、「家で蓮[UNK]さんは、いつも自己主張するよう教えられていた」率先して自分の意見を[ENT]言った。[SEP]「どこかみんなとは。[ENT]違っていたのかもしれない」
3	OVERLAP	「どこかみんなとは。[ENT]違っていたのかもしれない」[SEP]ほかの先生たちには、「おしゃべり」のレッテルを[ENT]張られていた。
4	OVERLAP	ほかの先生たちには、「おしゃべり」のレッテルを[ENT]張られていた。[SEP]それなのに、池田先生は[ENT]言ってくれたのだ。
5	OVERLAP	それなのに、池田先生は[ENT]言ってくれたのだ。[SEP]「と、初めてしゃべるのが得意なんだから、能力を生かしてみたら」「おしゃべり」を[ENT]評価してくれた。
6	BEFORE	大学に進学する時も、「あなたはと、法学部に論理的に考えるのが得意」行くよう[ENT]促したのは池田先生。[SEP]大学在学中にデビューし、キャスターとして活躍するその後の進路を思うにつけ、「本当によくと見ていてくれた」[ENT]感謝する。
7	AFTER	池田先生も、蓮[UNK]さんにアドバイスしたことを[ENT]覚えていた。[SEP]「生意気という人も。いたけれど、私は、彼女のようにモノをはっきり言えることがこれからは大切だと[ENT]思っていました」
8	BEFORE	「生意気という人も。いたけれど、私は、彼女のようにモノをはっきり言えることがこれからは大切だと[ENT]思っていました」[SEP]ひときわ元気だった教え子に、「持ち前の才能をとエールを生かしていってほしい」[ENT]送る。
9	BEFORE	学童保育の全国組織、全国学童保育連絡協議会が１７、１８日、電話相談を[ENT]行う。[SEP]利用者の相談に乗り、要望も集め厚生労働省に[ENT]届ける。
10	OVERLAP	もみじの木にとまって仲良く[ENT]寄り添う二羽のキジバト。[SEP]「目をは、京都御所でのスナップ。[ENT]とじて」
11	BEFORE	最初は離れてとまっていたそうですが、やがて二羽が並び、写真のように恋人同士を思わせるしぐさに[ENT]移ったそうです。[SEP]バックが暗い中、ストロボの光が鳥に集光して、スポットライトを当てたようになったのと、タイミングよくまぶたを閉じてくれたことで、独特な雰囲気の写真に[ENT]なりました。
12	VAGUE	バックが暗い中、ストロボの光が鳥に集光して、スポットライトを当てたようになったのと、タイミングよくまぶたを閉じてくれたことで、独特な雰囲気の写真に[ENT]なりました。[SEP]「喜色満面」は、道をまちがえて偶然[ENT]出会った小さな石像です。
13	BEFORE	「喜色満面」は、道をまちがえて偶然[ENT]出会った小さな石像です。[SEP]道や旅の安全を守る道祖神のひとつでしょうが、編み笠をかぶった人なつっこい笑顔を見るだけで、旅の疲れも[ENT]取れそうです。
14	VAGUE	道や旅の安全を守る道祖神のひとつでしょうが、編み笠をかぶった人なつっこい笑顔を見るだけで、旅の疲れも[ENT]取れそうです。[SEP]「昼寝」は、桜の木の上で気持ち良さそうに[ENT]眠るニャンコです。
15	BEFORE	ニュース写真として[ENT]掲載させていただくことがあります。[SEP]【投稿要項】１サイズはキャビネ（２Ｌ）かサービス判２撮影者の住所、氏名、年齢、職業、電話番号、撮影場所、作品のタイトルと簡単な説明を添付３返却希望の有無を明記４掲載作品には記念品、優秀作品には旬間賞を[ENT]贈ります。
16	VAGUE	昨年四月にオープンした大阪市北区の大阪国際会議場（グランキューブ大阪）の来場者が二十日、百万人を[ENT]突破した。[SEP]開業一年間の稼働率は当初目標を上回り、初年度決算も黒字確実で、山下和彦社長は「と二年目も引き続き好調を維持したい」[ENT]している。
17	VAGUE	収支見込みも、当初は数年間の赤字が必至とみられていたが、今月三十一日に予定している初年度決算で「経常利益は数億円単位の黒字に（山下社長）となる」[ENT]いう。[SEP]この日、百万人目の来場者となったのは兵庫県市川町の柴田愛子さんで、田中丈三支配人から花束などが[ENT]手渡された。
18	BEFORE	水田のあぜ道などに[ENT]放置された廃タイヤの一掃が目的。[SEP]廃タイヤ処理は所有者が民間業者に持ち込むのが一般的で、「自治体や団体が（道環境室）と[ENT]取り組むのは道内初」いう。
19	BEFORE	今月初めから町内全戸を対象に希望調査を行っており、五月中旬から回収を[ENT]始める。[SEP]今回の回収費用は千六百万―千八百万円かかる見込みで、同町が六百万円を[ENT]補助する。
20	AFTER	今回の回収費用は千六百万―千八百万円かかる見込みで、同町が六百万円を[ENT]補助する。[SEP]米どころの同町では、降霜対策で農家による廃タイヤの野焼きが行われてきたが、ダイオキシン問題や交通妨害が指摘され、行き場を失った廃タイヤがあぜ道や納屋の横に[ENT]放置されてきた。
21	OVERLAP	全体の経常損益は千六百七十二億円の赤字で、累積欠損金は二兆三千四百五十四億円に[ENT]上っている。[SEP]営業損益だけで見ると半数近くが黒字路線だが、巨額の建設費に対する支払利息などの営業外費用が重く[ENT]のしかかっている。
22	BEFORE	東京大はこの春から、大学院理学系研究科化学専攻の学生を対象に、マンツーマン方式の徹底的な英語指導を[ENT]始める。[SEP]科学の知識がある米国人講師が、論文の書き方、こなれた表現、討論もできる会話力を[ENT]鍛える。
23	AFTER	大学院では教育より研究が重視される風潮があり、同大によると、大学院でのこうした取り組みは初めてと[ENT]いう。[SEP]化学専攻は昨年、文部科学省の「に２１世紀ＣＯＥ（センター・オブ・エクセレンス）プログラム」[ENT]選ばれた。
24	BEFORE	化学専攻は昨年、文部科学省の「に２１世紀ＣＯＥ（センター・オブ・エクセレンス）プログラム」[ENT]選ばれた。[SEP]研究・教育予算が５年間、１億〜５億円ずつ加算されることになり、英語特別指導はその予算を[ENT]利用する。
25	AFTER	研究・教育予算が５年間、１億〜５億円ずつ加算されることになり、英語特別指導はその予算を[ENT]利用する。[SEP]同専攻は英語教育のほかにも、博士課程の学生の約７割にあたる７１人を「研究補助員」として雇用する契約を結び、研究活動に対して毎月７万５０００円の報酬を支払う取り組みも[ENT]始めた。
26	BEFORE	ブラジル東部オリンダで、カーニバルの中、男たちが通りすがりの女性にキスする習慣ができ、市当局が取り締まりに[ENT]乗り出した。[SEP]強制わいせつ罪が[ENT]適用される。
27	OVERLAP	米ＣＮＮテレビのプロデューサー、ウェンディ・ウィットワースさんの５０歳の誕生日、夫のラルフさんが[ENT]“プレゼント”したのは何と、元ビートルズのポール・マッカートニーのプライベートコンサートだった。[SEP]誕生パーティーで夫がポールの登場を[ENT]告げると、彼の大ファンのウェンディさんは思わず涙。
28	BEFORE	誕生パーティーで夫がポールの登場を[ENT]告げると、彼の大ファンのウェンディさんは思わず涙。[SEP]約１時間半のコンサートの終幕近くには、ポールはウェンディさんをステージに上げ、ビートルズの「バースデイ」を演奏したと[ENT]いう。
29	AFTER	■■元労相は無罪を主張したが、安広文夫裁判長は４罪とも成立を[ENT]認め[SEP]「なりふり構わず資金を調達しようと[ENT]した利欲目的の犯行。
30	BEFORE	「なりふり構わず資金を調達しようと[ENT]した利欲目的の犯行。[SEP]国会議員の地位にありながら、不合理な弁解を繰り返し、反省も[ENT]していない」
31	BEFORE	と[ENT]断罪した。[SEP]元労相は[ENT]上告する方針。
32	AFTER	元労相は[ENT]上告する方針。[SEP]１審より減刑した理由について安広裁判長は、詐欺の被害者である旧熊本工大（現崇城大学）側と今月４日に民事上の和解が成立したことを[ENT]あげた。
33	AFTER	最高裁裁判官の国民審査が九日、衆院選投票と同時に[ENT]実施される。[SEP]共同通信社は今回審査を受ける九人の裁判官にアンケートを[ENT]した。
34	BEFORE	司法制度改革の論議が終盤を[ENT]迎えつつある。[SEP]検討されている課題は多いが、中でも裁判官と国民から選ばれた裁判員が協力し、刑事事件の審理、判決を[ENT]行う裁判員制度の導入は、国民の司法参加の象徴ともいえ、大きな目玉の一つだ。
35	AFTER	検討されている課題は多いが、中でも裁判官と国民から選ばれた裁判員が協力し、刑事事件の審理、判決を[ENT]行う裁判員制度の導入は、国民の司法参加の象徴ともいえ、大きな目玉の一つだ。[SEP]そこで１最高裁裁判官としての信条や審理に当たっての心構え２裁判員制度が実施された場合、裁判官と裁判員それぞれに[ENT]期待することは何か。
